x,y,C_pct_1m
428786.313,6057565.5,1.08482808
432446.313,6058585.5,1.08489282
422726.313,6058165.5,1.08516689
423296.313,6057355.5,1.08518518
423266.313,6057355.5,1.08519356
428876.313,6058075.5,1.08541592
428606.313,6057625.5,1.08544172
431486.313,6057625.5,1.08550934
428756.313,6057595.5,1.08569384
422756.313,6058285.5,1.08571351
428846.313,6058105.5,1.08574694
428846.313,6058075.5,1.08578529
428816.313,6058075.5,1.08583049
428816.313,6058105.5,1.08583262
432206.313,6058435.5,1.08587746
428876.313,6058105.5,1.08606637
422726.313,6058195.5,1.08624307
432266.313,6058435.5,1.0862887
432296.313,6058435.5,1.08632166
432296.313,6058405.5,1.08635758
432266.313,6058405.5,1.08636373
429176.313,6058315.5,1.08659716
428786.313,6057475.5,1.08685211
428816.313,6058135.5,1.08691193
428546.313,6057475.5,1.08730597
428876.313,6058135.5,1.08742935
428846.313,6058135.5,1.08743403
422756.313,6058315.5,1.08785817
422756.313,6058255.5,1.08788617
428786.313,6057745.5,1.08789763
428756.313,6057685.5,1.08801921
422696.313,6058285.5,1.08802684
428786.313,6057685.5,1.08813558
428786.313,6057715.5,1.08813816
428756.313,6057715.5,1.08818382
428786.313,6057655.5,1.08821393
428756.313,6057745.5,1.08822684
428756.313,6057655.5,1.08834047
429026.313,6058375.5,1.08854656
422756.313,6058165.5,1.08855673
431546.313,6057655.5,1.0887056
424466.313,6055765.5,1.08890287
431576.313,6057745.5,1.08892376
431576.313,6057685.5,1.08894449
431066.313,6058135.5,1.08947419
431576.313,6057715.5,1.090169
422666.313,6058255.5,1.09017985
432296.313,6058375.5,1.09028237
432266.313,6058375.5,1.09028769
428786.313,6057535.5,1.09067658
425336.313,6055645.5,1.09114602
423386.313,6057355.5,1.09138405
423356.313,6057355.5,1.09139169
423326.313,6057355.5,1.09144018
431066.313,6058105.5,1.09148206
422696.313,6058255.5,1.09149469
429116.313,6058225.5,1.09154928
429116.313,6058345.5,1.09163762
432236.313,6058375.5,1.09175248
431576.313,6057655.5,1.09194881
432236.313,6058435.5,1.09210672
432236.313,6058405.5,1.09212456
431456.313,6057385.5,1.09221963
428696.313,6057565.5,1.09229914
428726.313,6057655.5,1.09236416
431096.313,6058165.5,1.09248465
429116.313,6058315.5,1.09252754
428906.313,6058525.5,1.09255949
428726.313,6057685.5,1.0927321
428726.313,6057715.5,1.09277518
428726.313,6057745.5,1.09289917
431486.313,6057445.5,1.0929488
431456.313,6057415.5,1.09295312
431456.313,6057445.5,1.09295731
431426.313,6057415.5,1.09296161
431426.313,6057445.5,1.0929658
429176.313,6058345.5,1.09296638
431486.313,6057415.5,1.0930256
431426.313,6057385.5,1.09303843
431576.313,6057355.5,1.09313468
431516.313,6057355.5,1.0933923
431546.313,6057355.5,1.09345943
428696.313,6057595.5,1.09372823
431486.313,6057385.5,1.09375061
