X,Y,C_pct_1m
741439.558,6436673.25,0.90775967
742099.558,6439673.25,0.9086838
742039.558,6439703.25,0.9093156
742579.558,6437363.25,0.90949139
742129.558,6439643.25,0.90971175
741409.558,6436733.25,0.9103315
741769.558,6435683.25,0.91086194
742639.558,6437213.25,0.91176736
742219.558,6439433.25,0.91198199
741529.558,6436493.25,0.91288582
742129.558,6439523.25,0.91290337
742159.558,6439643.25,0.91442077
741439.558,6436463.25,0.91455976
742069.558,6439583.25,0.91464883
741469.558,6436253.25,0.91517277
741499.558,6436433.25,0.91579344
741559.558,6436373.25,0.91587764
741379.558,6436223.25,0.91594973
742189.558,6439583.25,0.91629514
742129.558,6439403.25,0.91653766
741379.558,6436553.25,0.91700344
742129.558,6439673.25,0.91789566
743029.558,6437333.25,0.91839461
742099.558,6439703.25,0.91929812
742189.558,6439493.25,0.91960915
741409.558,6436643.25,0.91978062
741499.558,6436283.25,0.9197878
741439.558,6436733.25,0.92037092
741499.558,6436463.25,0.92046215
742849.558,6439403.25,0.92052138
742939.558,6439403.25,0.92066409
742189.558,6439463.25,0.92107933
741559.558,6436343.25,0.92115778
741379.558,6436703.25,0.9214679
742129.558,6439553.25,0.92224903
741769.558,6438863.25,0.92257379
742519.558,6437183.25,0.92330806
742249.558,6439463.25,0.92337007
742099.558,6439523.25,0.92348099
741529.558,6436613.25,0.92363995
742129.558,6439583.25,0.92382268
742189.558,6439643.25,0.924322
741439.558,6436613.25,0.92495815
741439.558,6436643.25,0.92586608
741439.558,6436823.25,0.92613673
742879.558,6437543.25,0.92639381
742129.558,6439433.25,0.92652535
741739.558,6438863.25,0.92695685
741529.558,6436403.25,0.92713229
742279.558,6439463.25,0.9273357
741799.558,6435623.25,0.92736976
742099.558,6439613.25,0.92767063
742939.558,6439433.25,0.92794092
742219.558,6439463.25,0.92819607
742189.558,6439433.25,0.92843417
742849.558,6439463.25,0.92901238
742849.558,6439433.25,0.9293066
742129.558,6439463.25,0.92933402
742879.558,6439463.25,0.93003429
741769.558,6435653.25,0.93016874
742879.558,6439433.25,0.93021685
742879.558,6439403.25,0.93028378
742909.558,6439433.25,0.93050107
742579.558,6437303.25,0.93051092
742159.558,6439673.25,0.93053861
742579.558,6437273.25,0.93063595
742909.558,6439463.25,0.93090284
742909.558,6439403.25,0.93112028
742129.558,6439703.25,0.93133398
742129.558,6439493.25,0.93179666
742579.558,6437333.25,0.93199466
741379.558,6436253.25,0.93250762
741589.558,6436463.25,0.93402084
741589.558,6436493.25,0.93479524
741559.558,6436463.25,0.93485099
741529.558,6436283.25,0.93488332
742879.558,6437513.25,0.93518363
742729.558,6437033.25,0.93547755
742999.558,6439463.25,0.93552853
742549.558,6437243.25,0.93560215
741529.558,6436793.25,0.93562978
741739.558,6435713.25,0.93611706
742669.558,6437063.25,0.93637857
